PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked_Q,Embarked_S,FamilySize
1,0,3,"Braund, Mr. Owen Harris",0,-0.5657364610748746,1,0,A/5 21171,-0.5024451714361923,False,True,0.0591598766636176
2,1,1,"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",1,0.6638610320657843,1,0,PC 17599,0.7868452935884461,False,False,0.0591598766636176
3,1,3,"Heikkinen, Miss. Laina",1,-0.2583370877897099,0,0,STON/O2. 3101282,-0.4888542575852486,False,True,-0.5609748304808925
4,1,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",1,0.4333115021019107,1,0,113803,0.4207302360686478,False,True,0.0591598766636176
5,0,3,"Allen, Mr. William Henry",0,0.4333115021019107,0,0,373450,-0.4863374216869257,False,True,-0.5609748304808925
6,0,3,"Moran, Mr. James",0,-0.1046374011471275,0,0,330877,-0.4781164289086437,True,False,-0.5609748304808925
7,0,1,"McCarthy, Mr. Timothy J",0,1.893458525206443,0,0,17463,0.395813560675251,False,True,-0.5609748304808925
8,0,3,"Palsson, Master. Gosta Leonard",0,-2.1027333275006983,3,1,349909,-0.2240831210816794,False,True,1.919563998097148
9,1,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",1,-0.1814872444684187,0,2,347742,-0.4242561406845337,False,True,0.6792945838081278
10,1,2,"Nasser, Mrs. Nicholas (Adele Achem)",1,-1.180535207645204,1,0,237736,-0.0429555020886142,False,False,0.0591598766636176
11,1,3,"Sandstrom, Miss. Marguerite Rut",1,-1.949033640858116,1,1,PP 9549,-0.312172377522981,False,True,0.6792945838081278
12,1,1,"Bonnell, Miss. Elizabeth",1,2.200857898491608,0,0,113783,-0.1138457087351363,False,True,-0.5609748304808925
13,0,3,"Saundercock, Mr. William Henry",0,-0.719436147717457,0,0,A/5. 2151,-0.4863374216869257,False,True,-0.5609748304808925
14,0,3,"Andersson, Mr. Anders Johan",0,0.7407108753870755,1,5,347082,-0.0187093117785307,False,True,3.1598334123861687
